
Tue Apr 12 2016 22:42:46 GMT-0400 (Eastern Daylight Time):  what-it-says - undefined
Tue Apr 12 2016 22:43:23 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:44:19 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:45:34 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:47:21 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:47:33 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:49:10 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:49:28 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:50:08 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:50:16 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:52:48 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:53:50 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:54:45 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:57:24 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:57:37 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:57:57 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:58:10 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 22:58:44 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:00:10 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:00:44 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:01:17 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:01:52 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:02:11 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:03:04 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:03:18 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:05:09 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:10:00 GMT-0400 (Eastern Daylight Time):  do-what-it-says - undefined
Tue Apr 12 2016 23:12:43 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:13:08 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:13:15 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:13:42 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:14:12 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:14:18 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:14:49 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
Tue Apr 12 2016 23:15:04 GMT-0400 (Eastern Daylight Time):  spotify-this-song - drive
